Production_Month,Region,Facility_Type,Operator,Oil_Volume_m3,Gas_Volume_e3m3,Water_Volume_m3,Active_Well_Count,Uptime_Hours
2020-02-01,Athabasca,Oil Sands Facility,Suncrest Oil Inc,24879.4,654.7,72913.2,849,664.9
2020-02-01,Athabasca,Pipeline Terminal,Suncrest Oil Inc,6663.5,4189.8,20757.6,222,700.8
2020-02-01,Athabasca,Compressor Station,Suncrest Oil Inc,3964.6,5608.9,11168.1,158,670.8
2020-02-01,Cold Lake,Battery,Vermilion Fields Corp,7617.0,1745.6,18887.8,285,733.3
2020-02-01,Cold Lake,Gas Plant,Vermilion Fields Corp,2205.4,5968.5,4276.0,85,721.3
2020-02-01,Cold Lake,Oil Sands Facility,Vermilion Fields Corp,17088.6,466.2,35864.6,715,714.6
2020-02-01,Cold Lake,Pipeline Terminal,Vermilion Fields Corp,4735.8,3087.0,11499.1,175,678.9
2020-02-01,Cold Lake,Compressor Station,Vermilion Fields Corp,3112.6,4565.1,7910.0,118,678.5
2020-02-01,Central Alberta,Battery,Crestwood Energy Ltd,2785.5,10072.6,7269.5,156,736.1
2020-02-01,Central Alberta,Gas Plant,Crestwood Energy Ltd,907.9,38769.7,1555.6,45,716.2
2020-02-01,Central Alberta,Oil Sands Facility,Crestwood Energy Ltd,6638.2,2857.6,12026.4,390,708.0
2020-02-01,Central Alberta,Pipeline Terminal,Crestwood Energy Ltd,1845.1,18978.1,5268.5,103,676.0
2020-02-01,Central Alberta,Compressor Station,Crestwood Energy Ltd,1165.1,26963.9,2667.7,66,699.2
2020-02-01,Southern Alberta,Battery,Pemberton Resources Inc,1306.8,13068.3,3498.8,105,668.3
2020-02-01,Southern Alberta,Gas Plant,Pemberton Resources Inc,364.3,43019.7,780.7,30,680.9
2020-02-01,Southern Alberta,Oil Sands Facility,Pemberton Resources Inc,2826.4,3364.7,6551.0,233,683.4
2020-02-01,Southern Alberta,Pipeline Terminal,Pemberton Resources Inc,763.7,21722.1,2350.1,62,732.4
2020-02-01,Southern Alberta,Compressor Station,Pemberton Resources Inc,531.3,34003.8,893.1,44,730.2
2020-03-01,Peace River,Battery,Crestwood Energy Ltd,5008.4,6975.9,15436.8,215,674.0
2020-03-01,Peace River,Gas Plant,Crestwood Energy Ltd,1368.0,22502.4,2656.7,60,664.9
2020-03-01,Peace River,Oil Sands Facility,Crestwood Energy Ltd,10780.3,1787.6,34243.6,474,725.9
2020-03-01,Peace River,Pipeline Terminal,Crestwood Energy Ltd,2918.9,11564.2,6645.8,136,743.6
2020-03-01,Peace River,Compressor Station,Crestwood Energy Ltd,1973.5,17592.6,5426.0,83,684.9
2020-03-01,Athabasca,Battery,Lakeland Petroleum Ltd,11373.5,2514.2,28737.3,372,722.8
2020-03-01,Athabasca,Gas Plant,Lakeland Petroleum Ltd,2920.0,7622.8,7401.3,108,731.6
2020-03-01,Athabasca,Oil Sands Facility,Lakeland Petroleum Ltd,23709.7,623.9,74383.2,828,675.6
2020-03-01,Athabasca,Pipeline Terminal,Lakeland Petroleum Ltd,6759.5,4250.2,18117.8,225,670.1
2020-03-01,Athabasca,Compressor Station,Lakeland Petroleum Ltd,4690.2,6635.3,9352.0,155,712.0
2020-03-01,Cold Lake,Battery,Clearwater Production Ltd,7933.7,1818.1,20103.0,291,738.5
2020-03-01,Cold Lake,Gas Plant,Clearwater Production Ltd,2243.6,6071.8,6160.7,82,693.2
2020-03-01,Cold Lake,Oil Sands Facility,Clearwater Production Ltd,19173.7,523.1,39881.2,665,723.2
2020-03-01,Cold Lake,Pipeline Terminal,Clearwater Production Ltd,4715.1,3073.6,11001.5,190,743.7
2020-03-01,Cold Lake,Compressor Station,Clearwater Production Ltd,3143.8,4610.8,6102.3,118,738.4
2020-03-01,Central Alberta,Battery,Foothills Gas Co,3267.2,11814.4,9823.9,157,673.3
2020-03-01,Central Alberta,Gas Plant,Foothills Gas Co,947.0,40439.2,2581.2,46,742.9
2020-03-01,Central Alberta,Oil Sands Facility,Foothills Gas Co,7393.6,3182.8,11922.3,382,685.1
2020-03-01,Central Alberta,Pipeline Terminal,Foothills Gas Co,1983.0,20396.3,6151.8,95,669.7
2020-03-01,Central Alberta,Compressor Station,Foothills Gas Co,1221.3,28264.7,3035.1,64,710.8
2020-03-01,Southern Alberta,Battery,Foothills Gas Co,1361.6,13615.6,2622.1,100,682.2
2020-03-01,Southern Alberta,Gas Plant,Foothills Gas Co,384.8,45438.7,1173.1,30,667.8
2020-03-01,Southern Alberta,Oil Sands Facility,Foothills Gas Co,3050.1,3631.0,6230.4,220,724.8
2020-03-01,Southern Alberta,Pipeline Terminal,Foothills Gas Co,841.7,23940.8,1699.5,63,706.3
2020-03-01,Southern Alberta,Compressor Station,Foothills Gas Co,545.0,34878.2,880.4,39,734.2
2020-04-01,Peace River,Battery,Ridgeline Oil Corp,5156.1,7181.8,12750.7,214,708.9
2020-04-01,Peace River,Gas Plant,Ridgeline Oil Corp,1353.3,22259.7,2441.2,59,735.5
2020-04-01,Peace River,Oil Sands Facility,Ridgeline Oil Corp,11859.1,1966.4,35306.0,503,677.6
2020-04-01,Peace River,Pipeline Terminal,Ridgeline Oil Corp,2943.1,11660.5,5193.0,133,734.3
2020-04-01,Peace River,Compressor Station,Ridgeline Oil Corp,2006.8,17888.7,5203.7,83,738.1
2020-04-01,Athabasca,Battery,Northland Energy Corp,11672.0,2580.1,36906.0,381,734.0
2020-04-01,Athabasca,Gas Plant,Northland Energy Corp,3023.5,7892.9,8400.8,106,738.2
2020-04-01,Athabasca,Oil Sands Facility,Northland Energy Corp,27008.3,710.7,80552.3,889,682.4
2020-04-01,Athabasca,Pipeline Terminal,Northland Energy Corp,7219.9,4539.7,12800.5,239,732.1
2020-04-01,Athabasca,Compressor Station,Northland Energy Corp,4447.3,6291.8,12926.2,153,685.6
2020-04-01,Cold Lake,Battery,Prairie Basin Resources,8659.5,1984.5,17008.6,274,676.2
2020-04-01,Cold Lake,Gas Plant,Prairie Basin Resources,2367.1,6406.2,7061.0,88,683.4
2020-04-01,Cold Lake,Oil Sands Facility,Prairie Basin Resources,19787.6,539.8,44314.0,706,705.0
2020-04-01,Cold Lake,Pipeline Terminal,Prairie Basin Resources,5516.9,3596.2,9845.2,188,675.0
2020-04-01,Cold Lake,Compressor Station,Prairie Basin Resources,3689.2,5410.9,7469.7,115,696.5
2020-04-01,Central Alberta,Battery,Ridgeline Oil Corp,3307.2,11959.2,6951.3,159,703.0
2020-04-01,Central Alberta,Gas Plant,Ridgeline Oil Corp,919.7,39274.0,2320.0,44,719.5
2020-04-01,Central Alberta,Oil Sands Facility,Ridgeline Oil Corp,6956.0,2994.4,21430.9,369,720.4
2020-04-01,Central Alberta,Pipeline Terminal,Ridgeline Oil Corp,2070.8,21299.4,5535.3,97,665.9
2020-04-01,Central Alberta,Compressor Station,Ridgeline Oil Corp,1366.0,31612.9,2907.3,64,731.2
2020-04-01,Southern Alberta,Battery,Prairie Basin Resources,1402.9,14028.8,2918.8,96,694.3
2020-04-01,Southern Alberta,Gas Plant,Prairie Basin Resources,391.5,46238.5,811.6,27,695.3
2020-04-01,Southern Alberta,Oil Sands Facility,Prairie Basin Resources,3371.5,4013.6,9048.1,238,711.7
2020-04-01,Southern Alberta,Pipeline Terminal,Prairie Basin Resources,826.9,23521.4,2048.0,58,684.1
2020-04-01,Southern Alberta,Compressor Station,Prairie Basin Resources,561.5,35937.2,1419.5,41,699.1
2020-05-01,Peace River,Battery,Pemberton Resources Inc,5067.3,7058.0,9840.3,206,735.7
2020-05-01,Peace River,Gas Plant,Pemberton Resources Inc,1551.8,25525.0,2904.2,57,703.3
2020-05-01,Peace River,Oil Sands Facility,Pemberton Resources Inc,12142.0,2013.3,25939.0,497,723.1
2020-05-01,Peace River,Pipeline Terminal,Pemberton Resources Inc,3270.1,12956.0,6407.5,125,662.1
2020-05-01,Peace River,Compressor Station,Pemberton Resources Inc,2052.6,18297.1,4844.6,89,666.1
2020-05-01,Athabasca,Battery,Suncrest Oil Inc,11508.8,2544.1,30010.6,357,718.5
2020-05-01,Athabasca,Gas Plant,Suncrest Oil Inc,3394.8,8862.1,6756.9,109,660.5
2020-05-01,Athabasca,Oil Sands Facility,Suncrest Oil Inc,28134.4,740.4,79678.7,827,695.7
2020-05-01,Athabasca,Pipeline Terminal,Suncrest Oil Inc,6949.9,4369.9,21772.3,231,664.2
2020-05-01,Athabasca,Compressor Station,Suncrest Oil Inc,4683.1,6625.3,13849.5,153,727.3
2020-05-01,Cold Lake,Battery,Vermilion Fields Corp,8891.4,2037.6,28280.2,289,739.8
2020-05-01,Cold Lake,Gas Plant,Vermilion Fields Corp,2672.7,7233.3,6896.2,85,702.4
2020-05-01,Cold Lake,Oil Sands Facility,Vermilion Fields Corp,21209.0,578.6,52526.1,696,722.5
2020-05-01,Cold Lake,Pipeline Terminal,Vermilion Fields Corp,5410.5,3526.8,10900.6,174,713.6
2020-05-01,Cold Lake,Compressor Station,Vermilion Fields Corp,3754.5,5506.6,9138.8,121,683.1
2020-05-01,Central Alberta,Battery,Crestwood Energy Ltd,3140.4,11356.1,6460.3,152,686.9
2020-05-01,Central Alberta,Gas Plant,Crestwood Energy Ltd,979.0,41808.2,1783.1,44,718.3
2020-05-01,Central Alberta,Oil Sands Facility,Crestwood Energy Ltd,8013.5,3449.7,13645.1,361,705.6
2020-05-01,Central Alberta,Pipeline Terminal,Crestwood Energy Ltd,2061.6,21204.8,3980.8,96,736.0
2020-05-01,Central Alberta,Compressor Station,Crestwood Energy Ltd,1407.2,32565.6,3817.5,67,724.3
2020-05-01,Southern Alberta,Battery,Pemberton Resources Inc,1389.6,13896.1,2236.5,95,723.3
2020-05-01,Southern Alberta,Gas Plant,Pemberton Resources Inc,432.6,51088.4,1352.1,28,722.8
2020-05-01,Southern Alberta,Oil Sands Facility,Pemberton Resources Inc,3318.9,3951.1,8513.7,220,678.4
2020-05-01,Southern Alberta,Pipeline Terminal,Pemberton Resources Inc,875.4,24899.2,1441.3,59,717.0
2020-05-01,Southern Alberta,Compressor Station,Pemberton Resources Inc,581.0,37182.6,1083.0,40,670.7
2020-06-01,Peace River,Battery,Crestwood Energy Ltd,5326.0,7418.4,8751.4,203,707.4
2020-06-01,Peace River,Gas Plant,Crestwood Energy Ltd,1426.2,23459.0,3748.6,57,698.8
2020-06-01,Peace River,Oil Sands Facility,Crestwood Energy Ltd,11449.0,1898.4,25263.0,466,687.5
2020-06-01,Peace River,Pipeline Terminal,Crestwood Energy Ltd,3392.4,13440.5,7485.7,131,729.9
2020-06-01,Peace River,Compressor Station,Crestwood Energy Ltd,2106.2,18775.0,3645.9,81,705.3
2020-06-01,Athabasca,Battery,Lakeland Petroleum Ltd,12800.9,2829.7,27649.1,373,725.6
2020-06-01,Athabasca,Gas Plant,Lakeland Petroleum Ltd,3563.5,9302.7,10001.9,112,676.7
2020-06-01,Athabasca,Oil Sands Facility,Lakeland Petroleum Ltd,26040.8,685.3,48014.3,827,716.2
2020-06-01,Athabasca,Pipeline Terminal,Lakeland Petroleum Ltd,7544.2,4743.6,14701.7,234,724.4
2020-06-01,Athabasca,Compressor Station,Lakeland Petroleum Ltd,4753.0,6724.3,12222.8,157,669.6
2020-06-01,Cold Lake,Battery,Clearwater Production Ltd,9284.2,2127.6,29185.4,274,662.2
2020-06-01,Cold Lake,Gas Plant,Clearwater Production Ltd,2523.8,6830.2,6773.3,87,693.3
2020-06-01,Cold Lake,Oil Sands Facility,Clearwater Production Ltd,21360.4,582.7,36773.9,678,712.7
2020-06-01,Cold Lake,Pipeline Terminal,Clearwater Production Ltd,5244.8,3418.8,14874.1,184,710.4
2020-06-01,Cold Lake,Compressor Station,Clearwater Production Ltd,3506.4,5142.8,11129.8,122,689.2
2020-06-01,Central Alberta,Battery,Foothills Gas Co,3370.1,12186.4,7390.3,154,688.7
2020-06-01,Central Alberta,Gas Plant,Foothills Gas Co,1041.5,44475.5,3036.7,43,740.7
2020-06-01,Central Alberta,Oil Sands Facility,Foothills Gas Co,8093.9,3484.3,23682.2,368,696.6
2020-06-01,Central Alberta,Pipeline Terminal,Foothills Gas Co,2197.3,22600.4,6910.0,94,727.9
2020-06-01,Central Alberta,Compressor Station,Foothills Gas Co,1426.0,33001.5,3384.7,64,721.4
2020-06-01,Southern Alberta,Battery,Foothills Gas Co,1390.4,13903.9,4119.4,99,667.3
2020-06-01,Southern Alberta,Gas Plant,Foothills Gas Co,441.5,52140.7,878.7,27,711.3
2020-06-01,Southern Alberta,Oil Sands Facility,Foothills Gas Co,3296.2,3924.0,5425.3,231,675.3
2020-06-01,Southern Alberta,Pipeline Terminal,Foothills Gas Co,861.9,24516.8,2479.3,59,733.9
2020-06-01,Southern Alberta,Compressor Station,Foothills Gas Co,615.6,39399.0,1257.1,38,739.6
2020-07-01,Peace River,Battery,Ridgeline Oil Corp,5051.9,7036.6,13903.4,204,723.7
2020-07-01,Peace River,Gas Plant,Ridgeline Oil Corp,1606.0,26416.6,4229.3,59,726.6
2020-07-01,Peace River,Oil Sands Facility,Ridgeline Oil Corp,11800.9,1956.8,23065.5,487,685.7
2020-07-01,Peace River,Pipeline Terminal,Ridgeline Oil Corp,3390.2,13431.6,7991.4,128,695.7
2020-07-01,Peace River,Compressor Station,Ridgeline Oil Corp,2311.6,20605.8,4922.0,87,682.8
2020-07-01,Athabasca,Battery,Northland Energy Corp,11850.3,2619.5,21248.2,356,670.0
2020-07-01,Athabasca,Gas Plant,Northland Energy Corp,3599.0,9395.2,10147.4,103,678.2
2020-07-01,Athabasca,Oil Sands Facility,Northland Energy Corp,28584.4,752.2,78874.0,898,704.1
2020-07-01,Athabasca,Pipeline Terminal,Northland Energy Corp,7440.4,4678.3,13101.4,222,679.1
2020-07-01,Athabasca,Compressor Station,Northland Energy Corp,4886.1,6912.5,7928.4,153,683.0
2020-07-01,Cold Lake,Battery,Prairie Basin Resources,9686.8,2219.9,24075.3,289,670.6
2020-07-01,Cold Lake,Gas Plant,Prairie Basin Resources,2786.1,7540.0,6646.0,85,708.2
2020-07-01,Cold Lake,Oil Sands Facility,Prairie Basin Resources,21104.3,575.8,48640.1,640,664.3
2020-07-01,Cold Lake,Pipeline Terminal,Prairie Basin Resources,6027.8,3929.2,14251.9,182,693.7
2020-07-01,Cold Lake,Compressor Station,Prairie Basin Resources,3559.2,5220.1,9279.2,112,672.5
2020-07-01,Central Alberta,Battery,Ridgeline Oil Corp,3499.5,12654.6,7300.4,161,669.9
2020-07-01,Central Alberta,Gas Plant,Ridgeline Oil Corp,1049.3,44807.6,2696.8,46,679.0
2020-07-01,Central Alberta,Oil Sands Facility,Ridgeline Oil Corp,8120.0,3495.5,18845.1,355,732.3
2020-07-01,Central Alberta,Pipeline Terminal,Ridgeline Oil Corp,2316.9,23830.8,4839.1,97,711.2
2020-07-01,Central Alberta,Compressor Station,Ridgeline Oil Corp,1494.0,34575.7,4655.5,62,677.7
2020-07-01,Southern Alberta,Battery,Prairie Basin Resources,1492.7,14927.2,2763.4,91,666.3
2020-07-01,Southern Alberta,Gas Plant,Prairie Basin Resources,396.2,46785.1,919.5,27,684.5
2020-07-01,Southern Alberta,Oil Sands Facility,Prairie Basin Resources,3278.4,3902.9,8953.7,225,698.1
2020-07-01,Southern Alberta,Pipeline Terminal,Prairie Basin Resources,936.4,26635.1,2882.5,61,712.5
2020-07-01,Southern Alberta,Compressor Station,Prairie Basin Resources,622.0,39809.9,1924.4,39,705.7
2020-08-01,Peace River,Battery,Pemberton Resources Inc,5352.0,7454.5,16342.1,210,666.0
2020-08-01,Peace River,Gas Plant,Pemberton Resources Inc,1457.9,23980.2,3050.2,61,707.8
2020-08-01,Peace River,Oil Sands Facility,Pemberton Resources Inc,11873.0,1968.7,21359.1,485,718.8
2020-08-01,Peace River,Pipeline Terminal,Pemberton Resources Inc,3480.4,13788.8,8355.6,127,666.8
2020-08-01,Peace River,Compressor Station,Pemberton Resources Inc,2044.1,18221.6,4683.5,83,681.0
2020-08-01,Athabasca,Battery,Suncrest Oil Inc,11340.1,2506.8,35597.2,379,708.3
2020-08-01,Athabasca,Gas Plant,Suncrest Oil Inc,3729.6,9736.3,11932.2,108,682.6
2020-08-01,Athabasca,Oil Sands Facility,Suncrest Oil Inc,26259.4,691.0,73789.7,853,714.7
2020-08-01,Athabasca,Pipeline Terminal,Suncrest Oil Inc,7955.6,5002.2,15039.1,231,713.3
2020-08-01,Athabasca,Compressor Station,Suncrest Oil Inc,5006.0,7082.1,8740.4,150,688.0
2020-08-01,Cold Lake,Battery,Vermilion Fields Corp,9074.6,2079.6,26973.1,277,718.3
2020-08-01,Cold Lake,Gas Plant,Vermilion Fields Corp,2508.5,6788.9,7807.2,84,706.2
2020-08-01,Cold Lake,Oil Sands Facility,Vermilion Fields Corp,20550.6,560.7,43222.6,646,741.5
2020-08-01,Cold Lake,Pipeline Terminal,Vermilion Fields Corp,5465.3,3562.6,13244.4,184,715.2
2020-08-01,Cold Lake,Compressor Station,Vermilion Fields Corp,3715.1,5448.8,8400.6,113,690.4
2020-08-01,Central Alberta,Battery,Crestwood Energy Ltd,3495.9,12641.4,9091.6,156,677.1
2020-08-01,Central Alberta,Gas Plant,Crestwood Energy Ltd,991.1,42323.1,3056.8,44,718.7
2020-08-01,Central Alberta,Oil Sands Facility,Crestwood Energy Ltd,7457.0,3210.1,23542.0,358,680.1
2020-08-01,Central Alberta,Pipeline Terminal,Crestwood Energy Ltd,2008.3,20657.1,4983.3,95,667.8
2020-08-01,Central Alberta,Compressor Station,Crestwood Energy Ltd,1503.0,34784.7,4600.2,63,669.9
2020-08-01,Southern Alberta,Battery,Pemberton Resources Inc,1481.8,14817.8,3552.5,95,702.7
2020-08-01,Southern Alberta,Gas Plant,Pemberton Resources Inc,399.9,47224.2,1173.9,28,680.5
2020-08-01,Southern Alberta,Oil Sands Facility,Pemberton Resources Inc,3327.6,3961.4,7366.4,227,702.7
2020-08-01,Southern Alberta,Pipeline Terminal,Pemberton Resources Inc,932.0,26509.1,2779.6,57,726.4
2020-08-01,Southern Alberta,Compressor Station,Pemberton Resources Inc,582.9,37308.8,1804.0,39,728.9
2020-09-01,Peace River,Battery,Crestwood Energy Ltd,4921.9,6855.5,10226.2,205,743.9
2020-09-01,Peace River,Gas Plant,Crestwood Energy Ltd,1478.4,24318.3,2716.9,59,689.0
2020-09-01,Peace River,Oil Sands Facility,Crestwood Energy Ltd,11930.6,1978.3,29462.5,472,687.0
2020-09-01,Peace River,Pipeline Terminal,Crestwood Energy Ltd,3034.3,12021.7,8241.2,128,679.6
2020-09-01,Peace River,Compressor Station,Crestwood Energy Ltd,2196.7,19581.8,3668.1,86,719.2
2020-09-01,Athabasca,Battery,Lakeland Petroleum Ltd,12176.3,2691.6,27003.7,372,728.9
2020-09-01,Athabasca,Gas Plant,Lakeland Petroleum Ltd,3632.1,9481.8,8689.9,101,702.2
2020-09-01,Athabasca,Oil Sands Facility,Lakeland Petroleum Ltd,27568.2,725.5,82470.8,886,697.0
2020-09-01,Athabasca,Pipeline Terminal,Lakeland Petroleum Ltd,7318.8,4601.8,17060.7,233,694.4
2020-09-01,Athabasca,Compressor Station,Lakeland Petroleum Ltd,4966.9,7026.8,9173.8,152,741.4
2020-09-01,Cold Lake,Battery,Clearwater Production Ltd,8369.7,1918.1,22667.9,284,731.5
2020-09-01,Cold Lake,Gas Plant,Clearwater Production Ltd,2620.8,7092.8,7796.7,80,686.6
2020-09-01,Cold Lake,Oil Sands Facility,Clearwater Production Ltd,20592.7,561.8,57969.3,678,663.0
2020-09-01,Cold Lake,Pipeline Terminal,Clearwater Production Ltd,5028.7,3277.9,13124.2,182,743.8
2020-09-01,Cold Lake,Compressor Station,Clearwater Production Ltd,3691.3,5413.9,8469.2,112,713.2
2020-09-01,Central Alberta,Battery,Foothills Gas Co,3420.1,12367.5,7900.0,153,735.9
2020-09-01,Central Alberta,Gas Plant,Foothills Gas Co,887.8,37913.8,2551.4,43,691.5
2020-09-01,Central Alberta,Oil Sands Facility,Foothills Gas Co,7208.3,3103.1,17659.4,353,726.6
2020-09-01,Central Alberta,Pipeline Terminal,Foothills Gas Co,1937.8,19931.2,3345.3,97,712.1
2020-09-01,Central Alberta,Compressor Station,Foothills Gas Co,1305.3,30207.6,3994.9,60,698.7
2020-09-01,Southern Alberta,Battery,Foothills Gas Co,1312.9,13128.9,2637.0,88,727.6
2020-09-01,Southern Alberta,Gas Plant,Foothills Gas Co,418.9,49465.7,1124.4,26,697.1
2020-09-01,Southern Alberta,Oil Sands Facility,Foothills Gas Co,3104.1,3695.4,7884.8,219,695.6
2020-09-01,Southern Alberta,Pipeline Terminal,Foothills Gas Co,820.1,23327.2,2421.3,56,692.3
2020-09-01,Southern Alberta,Compressor Station,Foothills Gas Co,565.2,36174.1,1118.8,38,708.3
2020-10-01,Peace River,Battery,Ridgeline Oil Corp,5248.7,7310.7,10877.2,212,715.3
2020-10-01,Peace River,Gas Plant,Ridgeline Oil Corp,1386.9,22812.8,3474.9,60,722.6
2020-10-01,Peace River,Oil Sands Facility,Ridgeline Oil Corp,10733.5,1779.8,27587.8,472,735.9
2020-10-01,Peace River,Pipeline Terminal,Ridgeline Oil Corp,2976.9,11794.3,8568.0,127,689.6
2020-10-01,Peace River,Compressor Station,Ridgeline Oil Corp,2085.0,18586.1,5407.3,85,720.6
2020-10-01,Athabasca,Battery,Northland Energy Corp,11560.4,2555.5,34003.1,370,735.9
2020-10-01,Athabasca,Gas Plant,Northland Energy Corp,3365.9,8786.7,7049.2,105,708.7
2020-10-01,Athabasca,Oil Sands Facility,Northland Energy Corp,27244.6,717.0,47520.4,835,722.8
2020-10-01,Athabasca,Pipeline Terminal,Northland Energy Corp,6746.8,4242.2,12221.5,229,741.6
2020-10-01,Athabasca,Compressor Station,Northland Energy Corp,4732.2,6694.8,14488.0,157,681.6
2020-10-01,Cold Lake,Battery,Prairie Basin Resources,8642.1,1980.5,20490.0,287,722.7
2020-10-01,Cold Lake,Gas Plant,Prairie Basin Resources,2356.6,6377.7,4204.8,84,671.8
2020-10-01,Cold Lake,Oil Sands Facility,Prairie Basin Resources,20547.8,560.6,61154.9,664,742.3
2020-10-01,Cold Lake,Pipeline Terminal,Prairie Basin Resources,5504.4,3588.1,15893.1,171,726.4
2020-10-01,Cold Lake,Compressor Station,Prairie Basin Resources,3209.9,4707.9,7891.6,115,716.5
2020-10-01,Central Alberta,Battery,Ridgeline Oil Corp,3203.9,11585.5,8122.8,154,739.0
2020-10-01,Central Alberta,Gas Plant,Ridgeline Oil Corp,862.4,36828.9,1702.5,41,734.3
2020-10-01,Central Alberta,Oil Sands Facility,Ridgeline Oil Corp,7362.4,3169.4,22561.4,338,665.3
2020-10-01,Central Alberta,Pipeline Terminal,Ridgeline Oil Corp,2043.9,21023.0,6244.2,91,694.3
2020-10-01,Central Alberta,Compressor Station,Ridgeline Oil Corp,1237.8,28645.5,3854.5,61,701.4
2020-10-01,Southern Alberta,Battery,Prairie Basin Resources,1231.1,12310.8,3717.4,88,698.1
2020-10-01,Southern Alberta,Gas Plant,Prairie Basin Resources,389.6,46010.8,1086.6,27,695.2
2020-10-01,Southern Alberta,Oil Sands Facility,Prairie Basin Resources,3147.5,3747.0,5814.2,211,668.3
2020-10-01,Southern Alberta,Pipeline Terminal,Prairie Basin Resources,814.2,23159.3,1834.4,59,662.7
2020-10-01,Southern Alberta,Compressor Station,Prairie Basin Resources,533.8,34160.2,1232.8,39,731.9
2020-11-01,Peace River,Battery,Pemberton Resources Inc,4341.9,6047.6,11710.5,202,742.1
2020-11-01,Peace River,Gas Plant,Pemberton Resources Inc,1315.1,21631.9,2941.9,57,670.3
2020-11-01,Peace River,Oil Sands Facility,Pemberton Resources Inc,11256.0,1866.4,26198.9,478,713.9
2020-11-01,Peace River,Pipeline Terminal,Pemberton Resources Inc,2914.0,11545.1,4762.0,129,680.5
2020-11-01,Peace River,Compressor Station,Pemberton Resources Inc,1816.2,16190.5,4546.5,80,724.3
2020-11-01,Athabasca,Battery,Suncrest Oil Inc,10180.1,2250.3,19805.6,378,687.6
2020-11-01,Athabasca,Gas Plant,Suncrest Oil Inc,2943.4,7683.7,8950.4,101,732.1
